# paso_L0	Cd	Cl	mismatch
17500	1.46619	-0.58550	0.12853
17600	1.50021	-0.63887	0.17226
17700	1.50580	-0.59573	0.19945
17800	1.47931	-0.44937	0.16145
17900	1.43068	-0.23024	0.11765
18000	1.39018	0.02373	0.09841
18100	1.36218	0.29779	0.09391
18200	1.37330	0.54240	0.10724
18300	1.39396	0.71881	0.13289
18400	1.42425	0.78986	0.16888
18500	1.43478	0.75474	0.19665
18600	1.43092	0.61522	0.13928
18700	1.40297	0.40456	0.09112
18800	1.37937	0.14746	0.07416
18900	1.39089	-0.13483	0.07485
19000	1.41967	-0.38139	0.09393
19100	1.45856	-0.56368	0.12229
19200	1.49440	-0.63803	0.16206
19300	1.50613	-0.61422	0.19733
19400	1.49117	-0.48393	0.16814
19500	1.45417	-0.28409	0.12120
19600	1.40072	-0.03238	0.09876
19700	1.36965	0.24975	0.08995
19800	1.36653	0.49938	0.10237
19900	1.39361	0.69248	0.12774
20000	1.42402	0.78356	0.16027
20100	1.43875	0.77255	0.19133
20200	1.43212	0.65054	0.14833
20300	1.41670	0.45615	0.08972
20400	1.39817	0.19988	0.07405
20500	1.38009	-0.07994	0.07511
20600	1.41877	-0.34154	0.08943
20700	1.45420	-0.53341	0.11590
20800	1.49580	-0.63821	0.15067
20900	1.51159	-0.62931	0.19350
21000	1.49682	-0.52432	0.17839
21100	1.45462	-0.33013	0.13106
21200	1.40403	-0.08851	0.10602
21300	1.37077	0.19094	0.08892
21400	1.36810	0.45179	0.09840
21500	1.38126	0.66595	0.12074
21600	1.42481	0.78078	0.15217
21700	1.43139	0.78611	0.18841
21800	1.43602	0.68741	0.16258
21900	1.41903	0.49727	0.10149
22000	1.39570	0.24973	0.07466
22100	1.39590	-0.01742	0.07218
22200	1.39783	-0.29125	0.08600
22300	1.43764	-0.50398	0.10976
22400	1.48982	-0.62587	0.14132
22500	1.51146	-0.64203	0.18758
22600	1.49872	-0.55045	0.18705
22700	1.46754	-0.37369	0.14228
22800	1.42022	-0.13527	0.11250
22900	1.38061	0.13242	0.09254
23000	1.36939	0.40415	0.09558
23100	1.38282	0.63570	0.11390
23200	1.41364	0.76715	0.14601
23300	1.43759	0.79305	0.18753
23400	1.43732	0.71418	0.18089
23500	1.42109	0.54231	0.11871
23600	1.40423	0.30592	0.07904
23700	1.38720	0.03264	0.07056
23800	1.40047	-0.24397	0.08265
23900	1.43469	-0.46845	0.10403
24000	1.47767	-0.61575	0.13429
24100	1.50897	-0.64924	0.17800
24200	1.50738	-0.57909	0.19719
24300	1.47797	-0.41912	0.15590
24400	1.42773	-0.18435	0.11831
24500	1.38647	0.07993	0.09617
24600	1.36874	0.36637	0.09302
24700	1.37341	0.59666	0.10765
24800	1.40129	0.74658	0.13909
24900	1.43427	0.79996	0.17806
25000	1.44323	0.73756	0.18681
25100	1.43154	0.58175	0.11920
25200	1.40482	0.35621	0.08295
25300	1.38304	0.08861	0.07279
25400	1.39425	-0.19827	0.07878
25500	1.42764	-0.43337	0.09830
25600	1.47148	-0.59108	0.12533
25700	1.50935	-0.64651	0.16886
25800	1.50991	-0.59334	0.20214
25900	1.48230	-0.45489	0.16534
26000	1.42894	-0.23189	0.12231
26100	1.38648	0.03305	0.10234
26200	1.36918	0.30522	0.09178
26300	1.38252	0.54965	0.10432
26400	1.39658	0.73074	0.13249
26500	1.42796	0.79598	0.16638
26600	1.43863	0.75433	0.18827
26700	1.42880	0.62288	0.12174
26800	1.40505	0.39963	0.08402
26900	1.38219	0.14262	0.07340
27000	1.38512	-0.14061	0.07756
27100	1.41580	-0.39025	0.09358
27200	1.46156	-0.57133	0.12011
27300	1.50324	-0.64448	0.16394
27400	1.51096	-0.60963	0.20224
27500	1.49292	-0.49022	0.17424
27600	1.45292	-0.28050	0.12803
27700	1.40130	-0.01845	0.10689
27800	1.37120	0.25893	0.09472
27900	1.37041	0.51010	0.10352
28000	1.39318	0.70428	0.12636
28100	1.43294	0.79747	0.15746
28200	1.44163	0.76918	0.19253
28300	1.43090	0.65285	0.14687
28400	1.41580	0.44228	0.09544
28500	1.39765	0.18464	0.07196
28600	1.38402	-0.09004	0.07652
28700	1.40729	-0.34894	0.08927
28800	1.45243	-0.54269	0.11575
28900	1.49591	-0.63932	0.15656
29000	1.50820	-0.62993	0.19960
29100	1.49285	-0.52222	0.18051
29200	1.46085	-0.32286	0.13091
29300	1.41047	-0.07512	0.10905
29400	1.37445	0.20502	0.09636
29500	1.37056	0.46548	0.10218
29600	1.38950	0.66898	0.12196
29700	1.40968	0.78329	0.15432
29800	1.43335	0.77866	0.19194
29900	1.44127	0.68520	0.16790
30000	1.41713	0.49073	0.10239
