# paso_L0	Cd	Cl	mismatch
17700	1.10244	0.17409	0.00000
17800	1.10160	0.15650	0.00000
17900	1.12160	0.12726	0.00000
18000	1.12030	0.10404	0.00000
18100	1.12837	0.06663	0.00000
18200	1.13157	0.03770	0.00000
18300	1.14714	0.00050	0.00000
18400	1.15109	-0.03472	0.00000
18500	1.16698	-0.05858	0.00000
18600	1.17552	-0.10026	0.00000
18700	1.17536	-0.13019	0.00000
18800	1.18933	-0.15426	0.00000
18900	1.19934	-0.17514	0.00000
19000	1.21011	-0.17788	0.00000
19100	1.21987	-0.18112	0.00000
19200	1.22434	-0.17901	0.00000
19300	1.23059	-0.16072	0.00000
19400	1.24063	-0.13377	0.00000
19500	1.24374	-0.10519	0.00000
19600	1.23925	-0.06510	0.00000
19700	1.24483	-0.02355	0.00000
19800	1.24418	0.02218	0.00000
19900	1.24333	0.07156	0.00000
20000	1.24434	0.12276	0.00000
20100	1.24774	0.17152	0.00000
20200	1.24189	0.21696	0.00000
20300	1.24307	0.26070	0.00000
20400	1.25501	0.29029	0.00000
20500	1.25178	0.31725	0.00000
20600	1.25864	0.33248	0.00000
20700	1.26058	0.33925	0.00000
20800	1.27352	0.32806	0.00000
20900	1.27209	0.31758	0.00000
21000	1.27425	0.29263	0.00000
21100	1.27845	0.25261	0.00000
21200	1.27700	0.21104	0.00000
21300	1.27654	0.16201	0.00000
21400	1.27801	0.11081	0.00000
21500	1.28188	0.05274	0.00000
21600	1.27616	-0.01208	0.00000
21700	1.28725	-0.06158	0.00000
21800	1.28507	-0.11515	0.00000
21900	1.28833	-0.16232	0.00000
22000	1.29708	-0.20098	0.00000
22100	1.30171	-0.23321	0.00000
22200	1.30931	-0.25045	0.00000
22300	1.31409	-0.26349	0.00000
22400	1.31966	-0.25470	0.00000
22500	1.32821	-0.24366	0.00000
22600	1.32228	-0.21274	0.00000
22700	1.31803	-0.17189	0.00000
22800	1.31472	-0.12280	0.00000
22900	1.30999	-0.06693	0.00000
23000	1.30238	-0.00151	0.00000
23100	1.28800	0.06858	0.00000
23200	1.28669	0.14014	0.00000
23300	1.27939	0.20491	0.00000
23400	1.28011	0.26866	0.00000
23500	1.28181	0.33377	0.00000
23600	1.28590	0.38591	0.00000
23700	1.29331	0.43211	0.00000
23800	1.30693	0.45667	0.00000
23900	1.30822	0.47667	0.00000
24000	1.31306	0.47643	0.00000
24100	1.31862	0.45789	0.00000
24200	1.31991	0.42526	0.00000
24300	1.32370	0.37915	0.00000
24400	1.31997	0.32462	0.00000
24500	1.32228	0.25016	0.00000
24600	1.31444	0.17303	0.00000
24700	1.31007	0.08721	0.00000
24800	1.31334	-0.00166	0.00000
24900	1.31647	-0.09063	0.00000
25000	1.32377	-0.17330	0.00000
25100	1.33944	-0.25464	0.00000
25200	1.34759	-0.32352	0.00000
25300	1.36500	-0.37493	0.00000
25400	1.37897	-0.41370	0.00000
25500	1.38943	-0.43513	0.00000
25600	1.39963	-0.43390	0.00000
25700	1.40164	-0.41505	0.00000
25800	1.40439	-0.38534	0.00000
25900	1.40098	-0.33028	0.00000
26000	1.38954	-0.25792	0.00000
26100	1.36975	-0.18253	0.00000
26200	1.36090	-0.08831	0.00000
26300	1.34700	0.00921	0.00000
26400	1.34040	0.11067	0.00000
26500	1.32824	0.22457	0.00000
26600	1.32579	0.32617	0.00000
26700	1.32594	0.42136	0.00000
26800	1.34013	0.50309	0.00000
26900	1.35049	0.57561	0.00000
27000	1.35802	0.61820	0.00000
27100	1.37332	0.64513	0.00000
27200	1.38192	0.64732	0.00000
27300	1.38754	0.63306	0.00000
27400	1.38710	0.59357	0.00000
27500	1.38815	0.53594	0.00000
27600	1.38242	0.45832	0.00000
27700	1.37741	0.36654	0.00000
27800	1.37272	0.26271	0.00000
27900	1.36084	0.14552	0.00000
28000	1.35937	0.02960	0.00000
28100	1.36219	-0.08732	0.00000
28200	1.37225	-0.20176	0.00000
28300	1.38679	-0.30768	0.00000
28400	1.40385	-0.40014	0.00000
28500	1.42331	-0.47885	0.00000
28600	1.43873	-0.52327	0.00000
28700	1.45808	-0.55447	0.00000
28800	1.46655	-0.56445	0.00000
28900	1.47325	-0.54478	0.00000
29000	1.46952	-0.50430	0.00000
29100	1.45605	-0.44241	0.00000
29200	1.45020	-0.36831	0.00000
29300	1.43152	-0.26702	0.00000
29400	1.40983	-0.15762	0.00000
29500	1.39480	-0.03855	0.00000
29600	1.37435	0.08618	0.00000
29700	1.36431	0.21416	0.00000
29800	1.36336	0.33891	0.00000
29900	1.35755	0.45116	0.00000
30000	1.37068	0.55304	0.00000
30100	1.38331	0.63843	0.00000
30200	1.39559	0.69837	0.00000
30300	1.41037	0.73524	0.00000
30400	1.42158	0.74558	0.00000
30500	1.42762	0.72610	0.00000
30600	1.42779	0.68658	0.00000
30700	1.42731	0.62126	0.00000
30800	1.41916	0.54300	0.00000
30900	1.41562	0.43921	0.00000
31000	1.40065	0.32571	0.00000
31100	1.39229	0.19698	0.00000
31200	1.38773	0.06517	0.00000
31300	1.38476	-0.06725	0.00000
31400	1.39699	-0.19947	0.00000
31500	1.41287	-0.32169	0.00000
31600	1.43330	-0.42811	0.00000
31700	1.45844	-0.51428	0.00000
31800	1.47560	-0.57711	0.00000
31900	1.49363	-0.61676	0.00000
32000	1.50567	-0.62560	0.00000
32100	1.51015	-0.61013	0.00000
32200	1.50883	-0.57020	0.00000
32300	1.50143	-0.50336	0.00000
32400	1.47995	-0.42006	0.00000
32500	1.45946	-0.32144	0.00000
32600	1.43622	-0.20153	0.00000
32700	1.41740	-0.07224	0.00000
32800	1.39640	0.05867	0.00000
32900	1.37671	0.19528	0.00000
33000	1.37041	0.33430	0.00000
33100	1.37074	0.45481	0.00000
33200	1.38250	0.56875	0.00000
33300	1.38968	0.65675	0.00000
33400	1.41134	0.73071	0.00000
33500	1.42466	0.77878	0.00000
33600	1.43805	0.79028	0.00000
33700	1.44489	0.77218	0.00000
33800	1.44479	0.73400	0.00000
33900	1.44507	0.67204	0.00000
34000	1.43657	0.58611	0.00000
34100	1.42349	0.47776	0.00000
34200	1.41047	0.36069	0.00000
34300	1.39684	0.22814	0.00000
34400	1.39717	0.09071	0.00000
34500	1.39130	-0.04946	0.00000
34600	1.39899	-0.18665	0.00000
34700	1.41563	-0.31401	0.00000
34800	1.43709	-0.42714	0.00000
34900	1.45391	-0.52327	0.00000
35000	1.48414	-0.58698	0.00000
35100	1.50100	-0.63367	0.00000
35200	1.52304	-0.64668	0.00000
35300	1.52434	-0.63267	0.00000
35400	1.52097	-0.59811	0.00000
35500	1.51105	-0.53819	0.00000
35600	1.48942	-0.45432	0.00000
35700	1.47237	-0.35353	0.00000
35800	1.44663	-0.23457	0.00000
35900	1.42457	-0.10882	0.00000
36000	1.40288	0.03553	0.00000
36100	1.37653	0.16859	0.00000
36200	1.38452	0.30934	0.00000
36300	1.37843	0.44138	0.00000
36400	1.38256	0.55798	0.00000
36500	1.39392	0.65856	0.00000
36600	1.41312	0.73220	0.00000
36700	1.43255	0.77887	0.00000
36800	1.44902	0.79658	0.00000
36900	1.45221	0.79211	0.00000
37000	1.45405	0.75226	0.00000
37100	1.45620	0.69789	0.00000
37200	1.44322	0.60797	0.00000
37300	1.43216	0.50586	0.00000
37400	1.41959	0.38968	0.00000
37500	1.40719	0.26003	0.00000
37600	1.39711	0.11511	0.00000
37700	1.39843	-0.01782	0.00000
37800	1.39942	-0.16455	0.00000
37900	1.41574	-0.29482	0.00000
38000	1.43006	-0.41298	0.00000
38100	1.45427	-0.51413	0.00000
38200	1.48049	-0.58372	0.00000
38300	1.50444	-0.63224	0.00000
38400	1.52330	-0.65874	0.00000
38500	1.52769	-0.64593	0.00000
38600	1.52928	-0.61557	0.00000
38700	1.52234	-0.55824	0.00000
38800	1.49812	-0.47778	0.00000
38900	1.47838	-0.37820	0.00000
39000	1.45474	-0.26180	0.00000
39100	1.43018	-0.13486	0.00000
39200	1.40505	0.00567	0.00000
39300	1.38680	0.14849	0.00000
39400	1.38355	0.28879	0.00000
39500	1.37849	0.42409	0.00000
39600	1.38375	0.54184	0.00000
39700	1.39394	0.64440	0.00000
39800	1.41438	0.72073	0.00000
39900	1.42696	0.77920	0.00000
40000	1.44085	0.80932	0.00000
40100	1.45235	0.80054	0.00000
40200	1.45471	0.76971	0.00000
40300	1.45396	0.71073	0.00000
40400	1.44658	0.63516	0.00000
40500	1.43644	0.53097	0.00000
40600	1.42017	0.41579	0.00000
40700	1.41158	0.28527	0.00000
40800	1.40501	0.14836	0.00000
40900	1.39687	0.00509	0.00000
